Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
DHX35,"C20orf15, DDX35, FLJ22759, KAIA0875",ENSG00000101452,DEAH-box helicase 35,20,38962299-39039723,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA054451, HPA062700",Uncertain,,Approved,Nucleus<br>Nuclear bodies<br>Centrosome,"Liver cancer:5.63e-6 (unfavourable), Endometrial cancer:4.25e-5 (unfavourable)",Expressed in all,Mixed,,,endometrium: 14.9,Expressed in all,,
DHX36,"DDX36, KIAA1488, MLEL1",ENSG00000174953,DEAH-box helicase 36,3,154272546-154324497,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA035399,Approved,,Supported,Nucleus<br>Cytosol,,Expressed in all,Expressed in all,,,testis: 63.3,Expressed in all,,
DHX37,"DDX37, KIAA1517, MGC2695, MGC4322",ENSG00000150990,DEAH-box helicase 37,12,124946825-124989122,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA047607,Enhanced,,Approved,Nuclear membrane,Liver cancer:9.54e-10 (unfavourable),Expressed in all,Mixed,,,bone marrow: 10.0,Expressed in all,,
DHX38,"DDX38, hPrp16, KIAA0224, PRP16, PRPF16",ENSG00000140829,DEAH-box helicase 38,16,72093562-72112912,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA041347, HPA041604",Uncertain,,Supported,Nucleus,,Expressed in all,Expressed in all,,,parathyroid gland: 50.0,Expressed in all,,
DHX40,"ARG147, DDX40, FLJ22060, PAD",ENSG00000108406,DEAH-box helicase 40,17,59565525-59608345,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA044350,Uncertain,,Supported,Nucleus,Colorectal cancer:4.05e-5 (favourable),Expressed in all,Expressed in all,,,parathyroid gland: 89.6,Expressed in all,,
DHX57,DDX57,ENSG00000163214,DExH-box helicase 57,2,38797729-38875934,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA036160,Uncertain,,Approved,Nucleoli<br>Intermediate filaments<br>Microtubules<br>Cytosol,Liver cancer:3.32e-6 (unfavourable),Expressed in all,Mixed,,,testis: 30.8,Expressed in all,,
DHX58,"D11LGP2, LGP2",ENSG00000108771,DExH-box helicase 58,17,42101404-42112733,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA018670, HPA019570",Approved,,Approved,Nucleoplasm<br>Golgi apparatus<br>Cytosol,Breast cancer:3.45e-4 (favourable),Expressed in all,Expressed in all,,,spleen: 24.9,Cell line enhanced,,BJ hTERT+ SV40 Large T+: 42.1;BJ hTERT+ SV40 Large T+ RasG12V: 51.2
DHX8,"DDX8, HRH1, PRP22, PRPF22",ENSG00000067596,DEAH-box helicase 8,17,43483865-43544463,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA049285,Approved,,Supported,Nucleoplasm<br>Nuclear bodies,,Expressed in all,Expressed in all,,,parathyroid gland: 55.0,Expressed in all,,
DHX9,"DDX9, LKP, RHA",ENSG00000135829,DExH-box helicase 9,1,182839369-182887751,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB011819, HPA028050, HPA055684",Supported,,Enhanced,Nucleus,"Liver cancer:3.17e-4 (unfavourable), Melanoma:6.04e-4 (unfavourable)",Expressed in all,Expressed in all,,,parathyroid gland: 137.9,Expressed in all,,
DICER1,"Dicer, HERNA, K12H4.8-LIKE, KIAA0928, MNG1",ENSG00000100697,"Dicer 1, ribonuclease III",14,95086228-95158010,"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA000694, CAB068185",Approved,,Supported,Cytosol,,Expressed in all,Expressed in all,,,placenta: 32.6,Expressed in all,,
DIMT1,"DIMT1L, HSA9761",ENSG00000086189,DIM1 dimethyladenosine transferase 1 homolog,5,62387254-62403939,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA042944,Approved,,Approved,Nucleus<br>Nucleoli<br>Cytosol,"Renal cancer:8.90e-12 (unfavourable), Liver cancer:6.93e-4 (unfavourable)",Expressed in all,Expressed in all,,,cerebral cortex: 33.7,Expressed in all,,
DIO1,TXDI1,ENSG00000211452,Iodothyronine deiodinase 1,1,53891239-53911086,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,,,,,,Thyroid cancer:5.44e-4 (unfavourable),Group enriched,Group enriched,30,kidney: 147.5;liver: 94.9;thyroid gland: 434.9,fallopian tube: 7.5,Group enriched,20,Hep G2: 23.0;SK-BR-3: 59.3
DIO2,"SelY, TXDI2",ENSG00000211448,Iodothyronine deiodinase 2,14,80197527-80387757,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"HPA029544, HPA048002",,,Supported,Nucleoplasm<br>Cytosol,"Endometrial cancer:4.62e-6 (favourable), Colorectal cancer:1.67e-4 (favourable)",Tissue enhanced,Group enriched,6,"cervix, uterine: 269.4;thyroid gland: 601.2",esophagus: 70.3,Cell line enhanced,,BJ: 70.1;HeLa: 63.5;SiHa: 184.0
DIO3,TXDI3,ENSG00000197406,Iodothyronine deiodinase 3,14,101561351-101563452,"Enzymes, Predicted membrane proteins",Evidence at protein level,,,,,,,Mixed,Tissue enhanced,,"cervix, uterine: 27.8;placenta: 25.4",ovary: 6.2,Cell line enriched,37,AF22: 53.5
DLAT,"DLTA, PDC-E2",ENSG00000150768,Dihydrolipoamide S-acetyltransferase,11,112024814-112064390,"Citric acid cycle related proteins, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"CAB003782, HPA040786, HPA062766",Enhanced,,Enhanced,Mitochondria,"Renal cancer:1.95e-14 (favourable), Colorectal cancer:6.19e-6 (favourable), Liver cancer:7.49e-5 (unfavourable)",Expressed in all,Expressed in all,,,parathyroid gland: 31.0,Expressed in all,,
DLD,"DLDH, GCSL, LAD",ENSG00000091140,Dihydrolipoamide dehydrogenase,7,107890970-107931730,"Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA044849,Enhanced,,Supported,Mitochondria,Renal cancer:7.58e-9 (favourable),Expressed in all,Expressed in all,,,heart muscle: 174.7,Expressed in all,,
DLST,DLTS,ENSG00000119689,Dihydrolipoamide S-succinyltransferase,14,74881891-74903745,"Citric acid cycle related proteins, Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA003010,Supported,,,,Renal cancer:1.13e-12 (favourable),Expressed in all,Expressed in all,,,kidney: 106.7,Expressed in all,,
DMGDH,,ENSG00000132837,Dimethylglycine dehydrogenase,5,78997606-79236038,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA036441, HPA036442, HPA077849",Enhanced,,Supported,Mitochondria,"Renal cancer:1.17e-5 (favourable), Liver cancer:5.32e-5 (favourable)",Group enriched,Group enriched,11,kidney: 179.1;liver: 146.2,epididymis: 14.9,Cell line enhanced,,BJ hTERT+: 2.9;Hep G2: 5.2
DMPK,"DM, DM1, DM1PK, DMK, MDPK, MT-PK",ENSG00000104936,Dystrophia myotonica protein kinase,19,45769717-45782552,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA007164, HPA008905",Enhanced,,Approved,Vesicles<br>Cytosol,Pancreatic cancer:9.39e-5 (favourable),Expressed in all,Expressed in all,,,smooth muscle: 97.3,Cell line enhanced,,RH-30: 99.0
DNA2,"DNA2L, KIAA0083",ENSG00000138346,DNA replication helicase/nuclease 2,10,68414064-68472121,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA037487, HPA057526",Approved,,Supported,Mitochondria,,Mixed,Mixed,,,lymph node: 6.3,Mixed,,
DNAJC6,"KIAA0473, PARK19",ENSG00000116675,DnaJ heat shock protein family (Hsp40) member C6,1,65248219-65415869,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA031182, HPA054917",Enhanced,,Approved,Nucleoplasm<br>Plasma membrane<br>Cytosol,Renal cancer:2.81e-4 (favourable),Tissue enhanced,Tissue enriched,10,cerebral cortex: 162.8,adrenal gland: 15.6,Cell line enhanced,,HDLM-2: 58.7;HEL: 150.3;K-562: 59.3
DNASE1,DNL1,ENSG00000213918,Deoxyribonuclease 1,16,3611728-3680143,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA010703,Enhanced,,Supported,Vesicles,Urothelial cancer:1.14e-4 (favourable),Expressed in all,Tissue enhanced,,small intestine: 37.8,duodenum: 29.9,Mixed,,
DNASE2,"DNL, DNL2",ENSG00000105612,"Deoxyribonuclease 2, lysosomal",19,12875211-12881468,"Enzymes, Predicted secreted proteins",Evidence at protein level,HPA066185,Enhanced,,,,,Expressed in all,Expressed in all,,,thyroid gland: 59.0,Expressed in all,,
DNASE2B,DLAD,ENSG00000137976,Deoxyribonuclease 2 beta,1,84398532-84415018,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at transcript level,,,,,,,Tissue enhanced,Tissue enriched,7,salivary gland: 73.0,prostate: 10.5,Not detected,,
DNM1,DNM,ENSG00000106976,Dynamin 1,9,128191655-128255248,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"CAB005920, HPA049910, HPA061801",Enhanced,,Supported,Nucleoplasm,,Mixed,Tissue enriched,14,cerebral cortex: 364.2,"cervix, uterine: 25.6",Cell line enhanced,,A549: 114.8
DNM1L,"DRP1, DVLP, DYMPLE, HDYNIV, VPS1",ENSG00000087470,Dynamin 1 like,12,32679200-32745650,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"CAB009952, HPA039324",Enhanced,,Enhanced,Vesicles<br>Cytosol,Liver cancer:6.27e-6 (unfavourable),Expressed in all,Expressed in all,,,cerebral cortex: 88.1,Expressed in all,,
DNM2,"CMT2M, CMTDI1, CMTDIB, DI-CMTB, DYN2, DYNII",ENSG00000079805,Dynamin 2,19,10718079-10833488,"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA054246,Enhanced,,Approved,Golgi apparatus<br>Cytosol,"Liver cancer:3.63e-4 (unfavourable), Head and neck cancer:8.91e-4 (favourable)",Expressed in all,Expressed in all,,,colon: 103.9,Expressed in all,,
DNM3,KIAA0820,ENSG00000197959,Dynamin 3,1,171841498-172418466,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA064121,,,Approved,Golgi apparatus,,Mixed,Tissue enhanced,,cerebral cortex: 41.1,adrenal gland: 15.6,Cell line enhanced,,HEL: 20.5;RPTEC TERT1: 14.4;U-251 MG: 11.7
DNMT1,"CXXC9, DNMT, MCMT",ENSG00000130816,DNA methyltransferase 1,19,10133345-10231286,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA002694, CAB005876",Enhanced,,Enhanced,Nucleoplasm,Liver cancer:1.46e-4 (unfavourable),Expressed in all,Expressed in all,,,placenta: 51.2,Expressed in all,,
DNMT3A,,ENSG00000119772,DNA methyltransferase 3 alpha,2,25227855-25342590,"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transcription factors",Evidence at protein level,"CAB009469, HPA026588",Approved,,Supported,Nucleoplasm,"Pancreatic cancer:1.18e-4 (favourable), Endometrial cancer:1.55e-4 (unfavourable), Liver cancer:1.58e-4 (unfavourable), Renal cancer:2.49e-4 (unfavourable)",Expressed in all,Expressed in all,,,placenta: 22.8,Cell line enhanced,,NTERA-2: 59.7;SH-SY5Y: 76.5
DNMT3B,,ENSG00000088305,DNA methyltransferase 3 beta,20,32762385-32809356,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA001595, CAB069896",Enhanced,,Approved,Nucleoplasm<br>Vesicles,"Renal cancer:1.87e-7 (unfavourable), Endometrial cancer:5.04e-4 (unfavourable)",Tissue enriched,Tissue enhanced,,testis: 9.2,skin: 4.5,Cell line enhanced,,BEWO: 236.9;NTERA-2: 333.3
DNPEP,"ASPEP, DAP",ENSG00000123992,Aspartyl aminopeptidase,2,219373546-219400022,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA036398, HPA044860",Enhanced,,Supported,Cytosol,,Expressed in all,Expressed in all,,,testis: 65.4,Expressed in all,,
DNTT,TDT,ENSG00000107447,DNA nucleotidylexotransferase,10,96304396-96338564,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA044194,,,Approved,Nucleoplasm<br>Cytosol,,Not detected,Tissue enriched,8,bone marrow: 18.3,tonsil: 2.1,Group enriched,518,MOLT-4: 325.2;REH: 1262.7
DOHH,"HLRC1, MGC4293",ENSG00000129932,Deoxyhypusine hydroxylase,19,3490821-3500940,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA041953,Approved,,Approved,Nucleus<br>Cytosol,"Endometrial cancer:2.24e-4 (favourable), Pancreatic cancer:3.58e-4 (favourable)",Expressed in all,Mixed,,,duodenum: 17.8,Expressed in all,,
DOLK,"DK1, KIAA1094, TMEM15",ENSG00000175283,Dolichol kinase,9,128945530-128947619,"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins",Evidence at protein level,"HPA066767, HPA068706",,,Supported,Nucleus<br>Nucleoli,"Thyroid cancer:6.88e-5 (favourable), Renal cancer:5.53e-4 (favourable)",Expressed in all,Mixed,,,parathyroid gland: 24.7,Expressed in all,,
DOLPP1,LSFR2,ENSG00000167130,Dolichyldiphosphatase 1,9,129081100-129090438,"Enzymes, Predicted membrane proteins",Evidence at protein level,HPA019179,Approved,,Approved,Vesicles<br>Intermediate filaments,,Expressed in all,Expressed in all,,,duodenum: 25.8,Expressed in all,,
DOT1L,"DOT1, KIAA1814, KMT4",ENSG00000104885,DOT1 like histone lysine methyltransferase,19,2164149-2232578,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA011875, HPA071217",,,Enhanced,Nucleoplasm,"Endometrial cancer:1.69e-4 (favourable), Head and neck cancer:6.00e-4 (favourable)",Expressed in all,Tissue enriched,7,testis: 92.3,"appendix,bone marrow: 14.0",Expressed in all,,
DPAGT1,"ALG7, CDG-Ij, D11S366, DGPT, DPAGT, DPAGT2, GPT",ENSG00000172269,Dolichyl-phosphate N-acetylglucosaminephosphotransferase 1,11,119096503-119108331,"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins",Evidence at protein level,HPA053878,Approved,,,,Liver cancer:2.03e-5 (unfavourable),Expressed in all,Mixed,,,parathyroid gland: 25.5,Expressed in all,,
DPEP1,,ENSG00000015413,Dipeptidase 1 (renal),16,89613308-89638456,"Enzymes, FDA approved drug targets, Predicted secreted proteins",Evidence at protein level,"HPA009426, HPA012783",Enhanced,,Approved,Nucleus<br>Cell Junctions,Renal cancer:6.84e-4 (favourable),Tissue enriched,Tissue enhanced,,kidney: 262.6;small intestine: 418.9,pancreas: 92.8,Cell line enhanced,,Hep G2: 22.4;HHSteC: 11.8;U-937: 36.5
DPEP2,,ENSG00000167261,Dipeptidase 2,16,67987394-68000586,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA035644,Approved,,,,Testis cancer:8.47e-4 (unfavourable),Mixed,Tissue enhanced,,spleen: 38.7,lung: 27.9,Cell line enhanced,,HEL: 3.7;HMC-1: 16.1;U-937: 4.9
DPEP3,,ENSG00000141096,Dipeptidase 3,16,67975663-67980829,"Enzymes, Predicted secreted proteins",Evidence at protein level,"HPA031870, HPA058607",Enhanced,,,,,Group enriched,Tissue enriched,25,testis: 56.9,spleen: 2.3,Not detected,,
DPH1,"DPH2L, DPH2L1, OVCA1",ENSG00000108963,Diphthamide biosynthesis 1,17,2030110-2043430,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA069750,,,Approved,Nucleoplasm<br>Cell Junctions,Pancreatic cancer:1.78e-5 (favourable),Expressed in all,Expressed in all,,,fallopian tube: 31.5,Expressed in all,,
DPH2,DPH2L2,ENSG00000132768,DPH2 homolog,1,43970000-43973369,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA045796,Uncertain,,Approved,Nucleus,"Liver cancer:1.17e-8 (unfavourable), Stomach cancer:1.37e-4 (favourable)",Expressed in all,Expressed in all,,,lymph node: 14.3,Expressed in all,,
DPH5,CGI-30,ENSG00000117543,Diphthamide biosynthesis 5,1,100989623-101026088,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA046439, HPA076234",Approved,,Approved,Golgi apparatus,,Expressed in all,Expressed in all,,,ovary: 52.1,Expressed in all,,
DPH6,"ATPBD4, MGC14798",ENSG00000134146,Diphthamine biosynthesis 6,15,35217345-35546193,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA042976, HPA055496",Approved,,Enhanced,Nucleus<br>Nucleoli,,Expressed in all,Expressed in all,,,thyroid gland: 18.1,Expressed in all,,
DPH7,"C9orf112, FLJ90634, RRT2, WDR85",ENSG00000148399,Diphthamide biosynthesis 7,9,137554904-137578935,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA022911,Uncertain,,Approved,Nuclear bodies,"Renal cancer:1.52e-5 (unfavourable), Urothelial cancer:3.23e-4 (favourable), Pancreatic cancer:6.52e-4 (favourable)",Expressed in all,Expressed in all,,,fallopian tube: 18.1,Expressed in all,,
DPM1,"CDGIE, MPDS",ENSG00000000419,"Dolichyl-phosphate mannosyltransferase subunit 1, catalytic",20,50934867-50958555,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA051818,Approved,,,,Liver cancer:1.94e-6 (unfavourable),Expressed in all,Expressed in all,,,thyroid gland: 80.5,Expressed in all,,
DPP10,"DPL2, DPPY, DPRP3",ENSG00000175497,Dipeptidyl peptidase like 10,2,114442299-115845752,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA048767,Uncertain,,Approved,Nucleus<br>Vesicles<br>Cytosol,,Mixed,Group enriched,7,adrenal gland: 14.1;cerebral cortex: 34.7,pancreas: 3.6,Cell line enhanced,,AF22: 4.1;HAP1: 6.4;HMC-1: 3.8;NTERA-2: 3.7;RT4: 5.3;SCLC-21H: 11.4;SH-SY5Y: 4.1
DPP3,,ENSG00000254986,Dipeptidyl peptidase 3,11,66480013-66509657,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA035780, HPA035781",Approved,,Enhanced,Nuclear speckles<br>Plasma membrane<br>Cytosol,Stomach cancer:1.34e-4 (favourable),Expressed in all,Expressed in all,,,colon: 29.7,Expressed in all,,
DPP4,"ADCP2, CD26, DPPIV",ENSG00000197635,Dipeptidyl peptidase 4,2,161992241-162074542,"CD markers, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,CAB045970,Enhanced,,,,"Renal cancer:1.35e-6 (favourable), Prostate cancer:1.98e-4 (unfavourable), Thyroid cancer:4.99e-4 (favourable)",Expressed in all,Tissue enhanced,,parathyroid gland: 550.6,placenta: 169.1,Cell line enhanced,,ASC diff: 115.0;ASC TERT1: 118.1;BJ hTERT+: 131.1;RPTEC TERT1: 175.8
DPP6,"DPL1, DPPX",ENSG00000130226,Dipeptidyl peptidase like 6,7,153887097-154894285,"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,HPA050509,Enhanced,Supported,,,,Tissue enriched,Tissue enhanced,,cerebral cortex: 51.1;endometrium: 27.6,smooth muscle: 15.4,Cell line enriched,9,NTERA-2: 5.5
DPP7,"DPP2, DPPII",ENSG00000176978,Dipeptidyl peptidase 7,9,137110542-137115177,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA021282, CAB025541, HPA059381",Supported,,Enhanced,Golgi apparatus<br>Vesicles,"Colorectal cancer:6.07e-6 (unfavourable), Pancreatic cancer:8.31e-5 (favourable)",Expressed in all,Expressed in all,,,adrenal gland: 70.7,Mixed,,
